9,20,18,1,3,22,27,11,16,2,24,18,21,7,15,15,15,23,4,16,14,4,25,21,24,17,8,1,4,7,21,22,18,12,15,34,2,13,31,2,12,7,16,6,16,12,21,7,20,30,22,13,11,3,14,7,21,21,1,5,16,15,22,1,8,24,18,16,23,9,28,13,6,29,4,2,17,2,23,25,8,22,17,5,15,15,9,18,11,16,16,9,18,15,14,0,24,19,19,1,7,31,5,17,20,7,10,24,14,0,20,24,6,27,17,26,11,5,8,26,3,23,11,10,11,16,10,1,3,34,16,19,17,14,15,1,22,15,22,10,100,26,6,17,34,17,98,2,32,68,77,23,97,3,46,54,48,52,88,12,57,1,42,31,34,26,9,17,28,3,17,36
7,9,34,9,21,0,20,13,25,16,13,30,3,0,22,17,12,1,27,2,19,5,18,14,18,8,20,17,12,18,9,20,10,11,20,25,1,0,2,8,24,39,1,18,17,20,6,21,17,16,10,25,1,16,10,22,14,25,3,15,10,9,23,1,27,15,1,8,18,29,4,12,22,15,18,4,25,1,9,16,27,15,21,11,27,19,10,2,28,14,1,15,3,35,13,7,12,15,31,11,5,6,10,9,29,5,23,11,16,29,14,3,23,0,14,16,19,8,19,25,10,1,23,8,17,16,25,16,21,6,20,5,6,18,4,28,26,2,0,22,100,22,26,27,16,10,36,64,28,72,88,12,79,21,53,47,46,54,69,31,33,1,66,17,38,8,37,29,24,25,8,13
17,6,22,8,6,19,22,3,19,10,6,29,13,20,3,27,2,30,15,18,5,8,21,16,23,22,11,1,25,10,3,12,14,17,19,7,21,5,18,21,22,7,15,1,25,17,20,4,19,18,4,21,8,15,13,22,6,24,18,2,17,2,31,20,5,21,0,11,8,36,40,11,10,13,0,23,2,27,27,5,29,0,13,0,25,10,8,15,3,21,20,12,10,22,9,14,15,18,22,5,6,17,16,11,23,18,5,19,22,5,30,2,23,15,16,8,21,13,4,1,11,24,3,8,9,43,6,2,3,24,17,22,25,13,21,21,8,3,14,20,100,33,5,1,32,29,63,37,10,90,46,54,52,48,69,31,24,76,33,67,15,42,43,35,29,24,12,15,24,19,26,17
12,15,12,23,15,10,13,15,14,29,4,8,20,11,22,9,26,7,7,9,21,8,23,26,2,8,19,13,20,9,8,4,37,15,8,14,21,8,5,13,21,17,12,17,15,22,6,16,13,15,3,17,18,17,7,23,19,15,5,23,0,14,25,11,20,10,28,7,9,16,5,9,0,27,15,15,29,15,0,25,0,19,27,15,20,25,1,14,10,15,15,18,28,5,10,21,8,10,17,2,2,8,18,39,15,9,21,22,5,17,11,15,9,12,14,8,14,17,26,30,12,9,7,19,3,21,27,4,0,25,21,2,22,25,23,22,15,10,3,1,100,5,4,22,26,43,35,65,17,83,57,43,62,38,61,39,43,57,24,76,30,39,31,37,25,23,16,20,3,26,34,17
20,15,15,16,17,4,13,13,10,18,14,1,20,25,23,9,7,19,20,18,4,16,8,11,15,17,12,21,13,24,14,0,11,24,14,18,20,13,13,4,15,17,2,1,29,21,36,8,2,20,16,0,21,10,13,19,1,13,15,12,19,17,22,5,12,22,7,19,12,25,24,24,9,15,2,19,8,8,4,22,27,14,9,17,14,32,12,1,33,5,4,1,11,8,25,23,30,1,32,3,1,28,1,4,30,17,20,20,6,18,4,15,10,17,10,27,7,5,25,14,22,16,4,10,16,18,9,10,21,21,5,14,19,0,29,28,10,29,2,1,100,32,2,25,16,24,30,70,52,48,63,37,49,51,20,80,99,1,39,61,68,13,19,24,2,32,41,1,10,33,35,21
2,27,30,7,14,7,12,13,7,12,18,31,17,3,9,25,3,9,20,19,16,5,1,11,36,8,22,16,8,23,22,2,12,24,9,6,23,19,7,9,5,31,25,6,5,4,21,13,26,1,23,2,19,16,12,27,11,8,20,28,6,18,10,4,15,12,6,14,22,27,13,15,12,0,20,31,8,3,24,2,24,6,0,41,1,24,20,23,5,23,5,17,6,14,15,23,10,15,0,14,6,10,19,25,26,10,18,11,18,22,9,13,4,6,21,22,9,19,19,31,24,1,22,5,1,15,36,19,3,5,18,9,9,13,8,7,15,18,20,19,100,2,23,53,3,19,54,46,48,52,72,28,12,88,17,83,65,35,47,53,43,23,34,41,25,5,28,29,24,10,6,31
11,16,14,19,24,10,5,6,18,8,23,19,7,19,4,10,24,9,24,25,4,23,16,5,9,22,12,12,0,18,21,21,11,13,16,29,1,18,10,8,25,8,17,22,9,18,23,3,8,18,22,15,21,1,10,13,24,23,9,16,2,16,11,6,7,23,31,2,11,20,30,2,8,10,13,28,9,10,15,11,27,10,24,3,6,12,26,24,0,6,26,21,15,3,7,14,16,25,10,12,16,17,15,17,13,10,19,10,9,4,20,28,15,17,16,17,4,18,12,17,17,16,19,12,16,3,2,14,27,4,29,4,20,6,18,4,24,3,20,24,100,33,6,19,22,20,58,42,73,27,73,27,5,95,47,53,93,7,16,84,15,65,20,8,1,40,51,34,21,32,12,1
14,8,9,28,26,6,9,2,0,23,2,26,21,25,1,20,24,21,2,7,24,8,8,23,13,8,8,32,8,12,21,17,22,9,11,12,28,24,14,12,4,5,19,12,26,26,11,0,5,7,17,18,21,10,6,20,19,19,8,30,3,15,7,24,16,5,14,2,17,22,24,16,3,11,18,19,9,12,20,21,9,16,17,5,13,22,16,5,13,23,8,19,4,7,23,9,29,9,22,10,25,17,12,11,2,10,26,26,15,14,4,4,24,25,10,10,0,13,18,2,28,14,17,11,16,13,2,23,16,23,16,6,13,6,13,21,33,8,12,7,100,2,18,44,2,33,21,79,72,28,64,36,40,60,33,67,43,57,9,91,41,45,14,19,20,26,35,14,43,4,16,22
17,11,19,15,3,20,16,12,13,11,28,2,13,21,33,4,15,21,10,2,15,26,3,12,1,20,27,11,35,20,14,10,6,0,14,10,15,8,5,14,25,22,23,12,5,16,11,28,6,21,17,7,22,8,19,7,13,2,31,11,23,4,16,21,26,3,3,33,6,8,18,8,13,13,21,10,16,13,13,2,26,6,22,18,24,14,15,11,26,7,3,0,17,21,10,18,19,15,7,11,7,11,8,29,26,20,5,27,12,18,17,0,13,11,28,0,33,14,1,19,20,21,8,15,1,17,14,16,12,21,12,18,7,25,19,5,2,9,22,18,100,28,28,15,2,26,66,34,79,21,27,73,90,10,41,59,41,59,62,38,29,27,44,39,52,4,5,12,16,12,12,49
19,23,15,21,3,6,15,10,20,8,27,20,0,15,21,12,22,5,26,7,7,15,14,8,15,18,14,14,14,23,9,6,12,21,15,13,18,12,23,7,24,2,20,15,12,11,8,14,20,12,29,12,23,4,3,16,3,19,12,26,23,13,4,11,12,18,23,2,9,26,15,19,19,20,3,5,18,5,13,21,17,17,6,22,24,17,16,13,21,1,7,37,26,2,15,9,12,0,12,44,5,23,3,12,2,9,14,0,25,8,33,11,4,19,23,10,2,19,22,7,26,3,9,12,15,29,0,25,9,30,24,1,10,14,17,12,16,12,18,12,100,8,26,17,23,26,50,50,61,39,80,20,63,37,48,52,47,53,25,75,6,54,40,26,19,18,38,37,22,1,27,12
