12,17,3,37,0,15,16,21,12,8,16,25,13,5,28,13,23,5,11,0,20,6,6,6,28,7,22,24,14,5,15,23,24,4,15,0,23,12,19,12,24,11,17,12,15,18,1,15,21,5,13,15,19,21,12,15,11,8,20,28,6,18,10,4,15,12,6,14,22,27,13,22,9,12,13,13,19,13,13,2,26,6,22,18,3,30,26,23,7,2,9,5,18,7,12,22,16,21,21,22,18,2,9,28,0,14,11,16,12,21,8,18,29,6,9,19,14,14,8,13,6,13,18,16,24,10,20,19,13,5,21,19,3,0,17,10,25,14,3,30,100,5,36,17,24,18,66,34,49,51,71,29,18,82,50,50,99,1,47,53,33,1,66,1,25,45,30,7,27,20,24,22
18,27,18,31,1,1,3,15,14,29,4,8,20,11,9,25,3,9,20,19,16,18,20,25,5,10,19,3,14,7,16,22,14,3,23,20,14,8,12,0,16,29,16,8,18,11,20,11,17,16,10,25,1,16,10,22,12,0,31,8,29,0,20,1,25,0,1,10,18,46,17,20,14,11,29,7,2,1,7,26,23,12,10,21,27,13,0,9,21,18,12,2,16,24,26,7,6,20,7,49,3,7,7,16,11,5,23,11,16,29,14,3,25,10,3,9,24,24,6,19,15,4,12,20,15,15,36,19,3,5,18,9,9,16,24,25,13,8,14,1,100,22,26,27,16,10,30,70,47,53,43,57,90,10,46,54,37,63,60,40,29,27,44,24,2,32,41,17,26,18,25,13
12,15,12,23,15,10,13,6,18,8,23,19,7,19,4,10,24,9,24,25,4,9,8,0,26,19,18,20,27,9,10,17,8,9,21,17,13,16,17,9,16,12,11,4,23,27,18,12,6,11,16,24,24,11,1,14,34,20,0,9,29,0,8,4,25,14,5,11,20,20,27,23,0,9,7,27,5,8,4,22,27,14,9,17,24,14,15,11,26,7,3,20,9,3,20,10,26,12,0,14,6,10,19,25,26,0,13,0,23,32,12,20,13,14,10,16,8,23,16,5,23,0,19,5,14,33,17,12,12,14,5,19,21,2,18,18,13,17,18,13,100,33,5,1,32,29,60,40,64,36,27,73,78,22,12,88,33,67,50,50,4,30,66,7,0,35,58,12,16,12,12,49
7,9,34,9,21,0,20,13,25,16,13,30,3,0,0,14,22,27,0,7,30,14,22,17,21,10,3,12,20,22,11,32,1,11,3,23,18,11,9,13,0,27,21,2,18,13,11,21,14,21,17,7,22,8,19,7,17,13,6,33,11,9,11,16,22,12,12,12,14,12,16,31,0,14,29,10,0,15,1,19,10,23,10,22,10,9,7,21,25,18,11,15,3,35,13,7,12,15,5,0,18,16,23,24,13,10,7,15,19,26,22,1,23,15,16,8,21,13,4,1,11,24,3,8,9,43,4,1,4,3,30,22,37,40,11,16,10,8,8,7,100,0,46,7,13,34,48,52,30,70,3,97,42,58,32,68,50,50,57,43,38,49,13,41,25,5,28,25,21,17,21,17
5,6,16,16,23,12,22,20,11,21,9,19,20,1,16,20,15,4,14,13,18,6,5,19,11,17,35,7,13,24,14,0,11,24,14,22,1,11,13,18,17,18,12,18,27,19,12,1,12,0,19,10,21,30,14,5,16,9,2,23,10,17,23,13,19,18,9,22,0,19,0,16,9,12,24,23,18,25,12,0,16,15,2,29,9,17,13,20,11,4,26,17,9,7,4,19,10,33,9,6,12,4,14,23,32,13,20,17,6,6,6,31,22,15,18,5,5,8,26,31,24,1,22,5,1,15,23,4,30,11,32,0,0,5,24,4,7,17,32,11,100,11,9,20,28,33,24,76,45,55,42,58,56,44,34,66,41,59,27,73,43,23,34,32,33,7,29,25,15,25,12,23
4,11,29,19,12,9,17,15,9,8,25,14,19,10,22,9,2,14,7,21,23,16,8,11,15,17,12,21,22,4,8,13,27,0,27,22,11,5,9,25,21,7,17,12,20,16,7,14,14,5,10,23,8,33,3,17,19,19,8,30,3,15,7,1,13,13,19,27,21,6,32,21,7,4,10,17,8,28,22,18,0,6,16,11,16,12,12,6,20,15,19,17,6,14,15,23,10,15,37,2,0,31,0,0,31,31,7,1,16,10,12,23,10,17,10,27,7,5,25,21,19,22,1,6,8,22,25,14,20,16,4,13,9,29,4,32,2,28,3,3,100,9,21,35,25,10,81,19,85,15,88,12,5,95,73,27,51,49,25,75,37,38,25,61,30,8,0,51,10,14,19,6
26,14,14,7,13,20,5,4,4,14,4,29,24,22,22,15,8,15,14,0,25,5,18,14,18,8,20,17,20,15,11,7,7,19,22,16,0,23,8,29,7,17,10,20,17,18,5,14,16,22,1,11,21,14,27,4,16,21,21,15,5,18,4,14,19,18,21,8,17,3,18,8,13,13,21,10,16,3,24,2,24,6,0,41,19,33,3,1,7,11,26,27,25,11,17,15,4,2,26,16,13,6,16,3,20,17,20,20,6,18,4,15,21,0,9,23,15,10,22,19,3,14,15,23,14,13,25,16,21,6,20,5,6,11,15,7,27,26,15,0,100,27,1,26,19,28,20,80,48,52,88,12,53,47,13,87,67,33,35,65,50,9,41,18,33,21,29,1,9,2,55,32
6,30,8,3,26,24,2,8,16,12,6,20,21,18,3,27,2,30,15,18,5,5,1,11,36,8,22,16,35,20,14,10,6,0,14,23,7,19,13,9,22,7,0,24,23,2,27,14,10,18,22,15,21,1,10,13,19,15,5,23,0,14,25,2,2,24,6,25,22,19,20,26,16,15,6,4,14,15,3,27,26,19,7,4,14,15,2,17,9,24,19,24,13,19,10,1,18,15,20,3,25,22,18,7,4,9,21,22,5,17,11,15,18,2,15,9,23,23,10,9,18,30,1,27,0,14,27,4,0,25,21,2,22,0,29,28,10,29,2,1,100,5,4,22,26,43,61,39,73,27,3,97,12,88,61,39,55,45,24,76,30,39,31,28,26,16,29,34,21,32,12,1
23,20,10,12,3,14,17,5,23,7,8,23,15,20,25,20,0,16,11,5,22,11,6,24,8,11,9,31,20,35,31,5,2,2,4,11,24,24,19,8,9,6,9,19,17,27,7,11,9,23,2,9,1,12,27,27,1,17,4,20,22,16,21,4,11,30,15,21,10,8,0,26,24,18,15,6,11,30,31,2,26,0,9,1,26,6,0,26,18,0,24,0,17,21,10,18,19,15,17,2,2,8,18,39,15,13,18,16,12,22,8,12,13,18,16,16,16,11,10,22,16,7,20,14,8,13,12,11,14,18,1,16,28,18,4,28,26,2,0,22,100,19,47,11,3,20,58,42,14,86,63,37,20,80,90,10,42,58,33,67,14,43,43,46,31,0,23,36,2,21,31,11
20,24,6,1,28,10,10,2,0,23,2,26,21,25,20,16,3,26,0,13,21,23,16,5,9,22,12,12,9,5,26,10,7,20,23,4,23,14,27,10,8,15,26,6,13,12,16,27,0,14,6,2,47,21,6,5,7,13,26,8,22,12,12,16,12,25,7,11,19,10,4,12,22,15,18,4,25,14,3,16,10,21,15,20,25,10,8,15,3,21,20,11,27,13,15,8,12,13,31,11,5,6,10,9,29,39,15,19,0,3,2,21,20,17,0,11,23,18,12,2,28,14,17,11,16,13,11,26,7,18,15,9,13,29,1,38,8,10,7,7,100,10,1,31,30,27,53,47,48,52,80,20,36,64,27,73,13,88,54,46,15,42,43,35,29,22,13,25,38,17,20,1
